,_id,territory,lieu_id,territory,verified,typeAccount,compte activé,compte non validé,non lié,Niveau de validation des comptes
200,5a58c0c7c1797fe45e377379,75,239,75,True,USER,1,0,0,1
201,5a58c0c7c1797fe45e37737a,75,240,75,False,INVITATION,0,0,0,0
202,5a58c0c7c1797fe45e37737b,75,241,75,False,INVITATION,0,0,0,0
203,5a58c0c7c1797fe45e37737c,75,242,75,False,INVITATION,0,0,0,0
204,5a58c0c7c1797fe45e37737d,75,243,75,False,INVITATION,0,0,0,0
205,5a58c0c7c1797fe45e37737e,75,244,75,False,INVITATION,0,0,0,0
206,5a58c0c7c1797fe45e37737f,75,245,75,True,USER,1,0,0,1
207,5a58c0c7c1797fe45e377380,75,246,75,False,INVITATION,0,0,0,0
208,5a58c0c7c1797fe45e377381,75,247,75,False,INVITATION,0,0,0,0
209,5a58c0c7c1797fe45e377382,75,248,75,True,USER,1,0,0,1
210,5a58c0c7c1797fe45e377383,75,249,75,False,INVITATION,0,0,0,0
211,5a58c0c7c1797fe45e377384,75,250,75,False,INVITATION,0,0,0,0
212,5a58c0c7c1797fe45e377385,75,251,75,False,INVITATION,0,0,0,0
213,5a58c0c7c1797fe45e377386,75,252,75,False,INVITATION,0,0,0,0
214,5a58c0c7c1797fe45e377387,75,253,75,False,INVITATION,0,0,0,0
215,5a58c0c7c1797fe45e377388,75,254,75,False,INVITATION,0,0,0,0
216,5a58c0c7c1797fe45e377389,75,255,75,True,USER,1,0,0,1
217,5a58c0c7c1797fe45e37738a,75,256,75,False,INVITATION,0,0,0,0
218,5a58c0c7c1797fe45e37738b,75,257,75,False,INVITATION,0,0,0,0
219,5a58c0c7c1797fe45e37738c,75,258,75,False,INVITATION,0,0,0,0
220,5a58c0c7c1797fe45e37738d,75,259,75,False,INVITATION,0,0,0,0
221,5a58c0c7c1797fe45e37738e,75,260,75,False,INVITATION,0,0,0,0
222,5a58c0c7c1797fe45e37738f,75,261,75,False,INVITATION,0,0,0,0
223,5a58c0c7c1797fe45e377390,75,262,75,False,INVITATION,0,0,0,0
224,5a58c0c7c1797fe45e377391,75,263,75,True,USER,1,0,0,1
225,5a58c0c7c1797fe45e377393,75,265,75,True,USER,1,0,0,1
226,5a58c0c7c1797fe45e377394,75,266,75,False,INVITATION,0,0,0,0
227,5a58c0c7c1797fe45e377395,75,267,75,False,INVITATION,0,0,0,0
228,5a58c0c7c1797fe45e377396,75,268,75,False,INVITATION,0,0,0,0
229,5a58c0c7c1797fe45e377397,75,269,75,True,USER,1,0,0,1
230,5a58c0c7c1797fe45e377398,75,270,75,True,USER,1,0,0,1
231,5a58c0c7c1797fe45e377399,75,271,75,True,USER,1,0,0,1
232,5a58c0c7c1797fe45e37739a,75,272,75,False,INVITATION,0,0,0,0
233,5a58c0c7c1797fe45e37739b,75,273,75,False,INVITATION,0,0,0,0
234,5a58c0c7c1797fe45e37739c,75,274,75,False,INVITATION,0,0,0,0
235,5a58c0c7c1797fe45e37739d,75,275,75,True,USER,1,0,0,1
236,5a58c0c7c1797fe45e37739e,75,276,75,False,INVITATION,0,0,0,0
237,5a58c0c7c1797fe45e3773a0,75,278,75,True,USER,1,0,0,1
238,5a58c0c7c1797fe45e3773a1,75,279,75,True,USER,1,0,0,1
239,5a58c0c7c1797fe45e3773a2,75,280,75,True,USER,1,0,0,1
240,5a58c0c7c1797fe45e3773a3,75,281,75,True,USER,1,0,0,1
241,5a58c0c7c1797fe45e3773a4,75,282,75,True,USER,1,0,0,1
242,5a58c0c7c1797fe45e3773a5,75,283,75,True,USER,1,0,0,1
243,5a58c0c7c1797fe45e3773a6,75,284,75,True,USER,1,0,0,1
244,5a58c0c7c1797fe45e3773a7,75,285,75,True,USER,1,0,0,1
245,5a58c0c7c1797fe45e3773a8,75,286,75,False,INVITATION,0,0,0,0
246,5a58c0c7c1797fe45e3773a9,75,287,75,True,USER,1,0,0,1
247,5a58c0c7c1797fe45e3773ab,75,289,75,True,USER,1,0,0,1
248,5a58c0c7c1797fe45e3773ac,75,290,75,True,USER,1,0,0,1
249,5a58c0c7c1797fe45e3773ad,75,291,75,True,USER,1,0,0,1
250,5a58c0c7c1797fe45e3773ae,75,292,75,True,USER,1,0,0,1
251,5a58c0c7c1797fe45e3773af,75,293,75,True,USER,1,0,0,1
252,5a58c0c7c1797fe45e3773b1,75,295,75,True,USER,1,0,0,1
253,5a58c0c7c1797fe45e3773b2,75,296,75,True,USER,1,0,0,1
254,5a58c0c7c1797fe45e3773b3,75,297,75,True,USER,1,0,0,1
255,5a58c0c7c1797fe45e3773b4,75,298,75,True,USER,1,0,0,1
256,5a58c0c7c1797fe45e3773b5,75,299,75,True,USER,1,0,0,1
257,5a58c0c7c1797fe45e3773b6,75,300,75,True,USER,1,0,0,1
258,5a58c0c7c1797fe45e3773b7,75,301,75,True,USER,1,0,0,1
259,5a58c0c7c1797fe45e3773b8,75,302,75,True,USER,1,0,0,1
260,5a58c0c7c1797fe45e3773b9,75,303,75,True,USER,1,0,0,1
261,5a58c0c7c1797fe45e3773ba,75,304,75,True,USER,1,0,0,1
262,5a58c0c7c1797fe45e3773bb,75,305,75,True,USER,1,0,0,1
263,5a58c0c7c1797fe45e3773bc,75,306,75,True,USER,1,0,0,1
264,5a58c0c7c1797fe45e3773be,75,308,75,False,INVITATION,0,0,0,0
265,5a58c0c7c1797fe45e3773bf,75,309,75,False,INVITATION,0,0,0,0
266,5a58c0c7c1797fe45e3773c0,75,310,75,False,INVITATION,0,0,0,0
267,5a58c0c7c1797fe45e3773c1,75,311,75,False,INVITATION,0,0,0,0
268,5a58c0c7c1797fe45e3773c2,75,312,75,True,USER,1,0,0,1
269,5a58c0c7c1797fe45e3773c3,75,313,75,False,INVITATION,0,0,0,0
270,5a58c0c7c1797fe45e3773c4,75,314,75,False,INVITATION,0,0,0,0
271,5a58c0c7c1797fe45e3773c5,75,315,75,True,USER,1,0,0,1
272,5a58c0c7c1797fe45e3773c6,75,316,75,True,USER,1,0,0,1
273,5a58c0c7c1797fe45e3773c7,75,317,75,False,INVITATION,0,0,0,0
274,5a58c0c7c1797fe45e3773c8,75,318,75,False,INVITATION,0,0,0,0
275,5a58c0c7c1797fe45e3773c9,75,319,75,False,INVITATION,0,0,0,0
276,5a58c0c7c1797fe45e3773ca,75,320,75,False,INVITATION,0,0,0,0
277,5a58c0c7c1797fe45e3773cb,75,321,75,False,INVITATION,0,0,0,0
278,5a58c0c7c1797fe45e3773cd,75,323,75,False,INVITATION,0,0,0,0
279,5a58c0c7c1797fe45e3773ce,75,324,75,False,INVITATION,0,0,0,0
280,5a58c0c7c1797fe45e3773cf,75,325,75,False,INVITATION,0,0,0,0
281,5a58c0c7c1797fe45e3773d0,75,326,75,True,USER,1,0,0,1
282,5a58c0c7c1797fe45e3773d1,75,327,75,True,USER,1,0,0,1
283,5a58c0c7c1797fe45e3773d2,75,328,75,True,USER,1,0,0,1
284,5a58c0c7c1797fe45e3773d3,75,329,75,True,USER,1,0,0,1
285,5a58c0c7c1797fe45e3773d4,75,330,75,True,USER,1,0,0,1
286,5a58c0c7c1797fe45e3773d6,75,332,75,False,INVITATION,0,0,0,0
287,5a58c0c7c1797fe45e3773d7,75,333,75,True,USER,1,0,0,1
288,5a58c0c7c1797fe45e3773d8,75,334,75,True,USER,1,0,0,1
289,5a58c0c7c1797fe45e3773d9,75,335,75,True,USER,1,0,0,1
290,5a58c0c7c1797fe45e3773da,75,336,75,True,USER,1,0,0,1
291,5a58c0c7c1797fe45e3773db,75,337,75,False,INVITATION,0,0,0,0
292,5a58c0c7c1797fe45e3773dc,75,338,75,False,INVITATION,0,0,0,0
293,5a58c0c7c1797fe45e3773de,75,340,75,True,USER,1,0,0,1
294,5a58c0c7c1797fe45e3773e0,75,342,75,True,USER,1,0,0,1
295,5a58c0c7c1797fe45e3773e1,75,343,75,True,USER,1,0,0,1
296,5a58c0c7c1797fe45e3773e2,75,344,75,True,USER,1,0,0,1
297,5a58c0c7c1797fe45e3773e5,75,347,75,,,0,0,3,3
298,5a58c0c7c1797fe45e3773e6,75,348,75,False,INVITATION,0,0,0,0
299,5a58c0c7c1797fe45e3773e7,75,349,75,False,INVITATION,0,0,0,0
300,5a58c0c7c1797fe45e3773e9,75,351,75,False,INVITATION,0,0,0,0
301,5a58c0c7c1797fe45e3773ea,75,352,75,False,INVITATION,0,0,0,0
302,5a58c0c7c1797fe45e3773eb,75,353,75,,,0,0,3,3
303,5a58c0c7c1797fe45e3773ec,75,354,75,,,0,0,3,3
304,5a58c0c7c1797fe45e3773ed,75,355,75,,,0,0,3,3
305,5a58c0c7c1797fe45e3773ef,75,357,75,False,INVITATION,0,0,0,0
306,5a58c0c7c1797fe45e3773f1,75,359,75,,,0,0,3,3
307,5a58c0c7c1797fe45e3773f2,75,360,75,False,INVITATION,0,0,0,0
308,5a58c0c7c1797fe45e3773f3,75,361,75,,,0,0,3,3
309,5a58c0c7c1797fe45e3773f4,75,362,75,,,0,0,3,3
310,5a58c0c7c1797fe45e3773f5,75,363,75,,,0,0,3,3
311,5a58c0c7c1797fe45e3773f6,75,364,75,,,0,0,3,3
312,5a58c0c7c1797fe45e3773f7,75,365,75,,,0,0,3,3
313,5a58c0c7c1797fe45e3773f8,75,366,75,,,0,0,3,3
314,5a58c0c7c1797fe45e3773f9,75,367,75,,,0,0,3,3
315,5a58c0c7c1797fe45e3773fa,75,368,75,,,0,0,3,3
316,5a58c0c7c1797fe45e3773fb,75,369,75,,,0,0,3,3
317,5a58c0c7c1797fe45e3773fc,75,370,75,,,0,0,3,3
318,5a58c0c7c1797fe45e3773fd,75,371,75,,,0,0,3,3
319,5a58c0c7c1797fe45e3773fe,75,372,75,,,0,0,3,3
320,5a58c0c7c1797fe45e3773ff,75,373,75,,,0,0,3,3
321,5a58c0c7c1797fe45e377400,75,374,75,,,0,0,3,3
322,5a58c0c7c1797fe45e377402,75,376,75,,,0,0,3,3
323,5a58c0c7c1797fe45e377403,75,377,75,False,INVITATION,0,0,0,0
324,5a58c0c7c1797fe45e377404,75,378,75,False,INVITATION,0,0,0,0
325,5a58c0c7c1797fe45e377405,75,379,75,False,INVITATION,0,0,0,0
326,5a58c0c7c1797fe45e377406,75,380,75,False,INVITATION,0,0,0,0
327,5a58c0c7c1797fe45e377407,75,381,75,False,INVITATION,0,0,0,0
328,5a58c0c7c1797fe45e377409,75,383,75,False,INVITATION,0,0,0,0
329,5a58c0c7c1797fe45e37740b,75,385,75,False,INVITATION,0,0,0,0
330,5a58c0c7c1797fe45e37740c,75,386,75,False,INVITATION,0,0,0,0
331,5a58c0c7c1797fe45e37740d,75,387,75,False,INVITATION,0,0,0,0
332,5a58c0c7c1797fe45e37740e,75,388,75,False,INVITATION,0,0,0,0
333,5a58c0c7c1797fe45e37740f,75,389,75,False,INVITATION,0,0,0,0
334,5a58c0c7c1797fe45e377410,75,390,75,False,INVITATION,0,0,0,0
335,5a58c0c7c1797fe45e377411,75,391,75,False,INVITATION,0,0,0,0
336,5a58c0c7c1797fe45e377412,75,392,75,False,INVITATION,0,0,0,0
337,5a58c0c7c1797fe45e377413,75,393,75,False,INVITATION,0,0,0,0
338,5a58c0c7c1797fe45e377414,75,394,75,False,INVITATION,0,0,0,0
339,5a58c0c7c1797fe45e377415,75,395,75,False,INVITATION,0,0,0,0
340,5a58c0c7c1797fe45e377416,75,396,75,False,INVITATION,0,0,0,0
341,5a58c0c7c1797fe45e377417,75,397,75,False,INVITATION,0,0,0,0
342,5a58c0c7c1797fe45e377418,75,398,75,False,INVITATION,0,0,0,0
343,5a58c0c7c1797fe45e377419,75,399,75,False,INVITATION,0,0,0,0
344,5a58c0c7c1797fe45e37741a,75,400,75,False,INVITATION,0,0,0,0
