,index,_id,lieu_id,user,section,created_at,updatedAt,__v,new,old,userDatas,automation,noChanges,isCampaign,orgaId,orgaName,role,status,territoire
1557,48022,60d48242a88132563f8c068a,11445,60cc72e7ac160c67202c80ec,tempMessage,2021-06-24,2021-06-24 13:01:54.212,0,"{'actif': True, 'dateDebut': datetime.datetime(2021, 6, 24, 0, 0), 'dateFin': datetime.datetime(2021, 9, 10, 0, 0), 'description': '<p>&nbsp;Inscrivez-vous !</p>', 'name': 'Encore des places disponibles pour la session de septembre 2021 !'}","{'actif': False, 'dateDebut': None, 'dateFin': None, 'description': None, 'name': None}","{'orgaId': '3319', 'orgaName': 'Diapason', 'role': 'OWNER', 'status': 'PRO', 'territory': '33'}",False,False,True,3319,Diapason,OWNER,PRO,33
1558,48028,60d4827ea88132563f8c0692,11151,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 13:02:54.731,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1559,48037,60d482c9a88132563f8c06a4,5480,60bf244ddcc0491fd973cca8,tempMessage,2021-06-24,2021-06-24 13:04:09.252,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1560,48039,60d48314a88132563f8c06b4,5492,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 13:05:24.329,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1561,48042,60d48350a88132563f8c06c2,5493,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 13:06:24.184,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1562,48045,60d48384a88132563f8c06cd,5484,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 13:07:16.636,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1563,48050,60d483bda88132563f8c06d2,1999,60bf244ddcc0491fd973cca8,tempMessage,2021-06-24,2021-06-24 13:08:13.943,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1564,48057,60d48444a88132563f8c06df,8853,60bf2464dcc0491fd973ccad,tempMessage,2021-06-24,2021-06-24 13:10:28.489,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1565,48063,60d484d4a88132563f8c06ed,2000,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 13:12:52.272,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1566,48068,60d48524a88132563f8c06f6,2406,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 13:14:12.853,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,92
1567,48069,60d48546a88132563f8c06f9,10059,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 13:14:46.936,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1568,48082,60d4869aa88132563f8c0732,8851,60bf2464dcc0491fd973ccad,tempMessage,2021-06-24,2021-06-24 13:20:26.396,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1569,48089,60d4873fa88132563f8c0749,4709,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 13:23:11.712,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1570,48094,60d4875ea88132563f8c0753,4732,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 13:23:42.090,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1571,48103,60d487bea88132563f8c0765,12868,60bf36aedcc0491fd973ce33,tempMessage,2021-06-24,2021-06-24 13:25:18.125,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,06
1572,48107,60d487cca88132563f8c0769,8849,60bf2464dcc0491fd973ccad,tempMessage,2021-06-24,2021-06-24 13:25:32.424,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
