,Territoire,❄️ Source de la mise à jour
1547,93.0,
1548,93.0,Appel
1549,92.0,Coordination
1550,93.0,Appel
1551,92.0,Coordination
1552,93.0,
1553,92.0,Coordination
1554,92.0,Coordination
1555,92.0,"Tchat,Coordination"
1556,92.0,Coordination
1557,92.0,Coordination
1558,92.0,Coordination
1559,92.0,Coordination
1560,93.0,Appel
1561,93.0,Mail
1562,93.0,
1563,93.0,Appel
1564,93.0,Appel
1565,93.0,
1566,93.0,
1567,93.0,
1568,92.0,Appel
1569,93.0,
1570,93.0,Contact
1571,93.0,Contact
1572,93.0,Contact
1573,93.0,
1574,93.0,
1575,93.0,Contact
1576,93.0,
1577,93.0,
1578,93.0,
1579,93.0,
1580,93.0,
1581,93.0,Appel
1582,93.0,
1583,93.0,
1584,93.0,
1585,93.0,
1586,94.0,
1587,94.0,Appel
1588,94.0,
1589,94.0,
1590,94.0,Mail
1591,92.0,Appel
1592,92.0,Appel
1593,92.0,Appel
1594,92.0,Appel
1595,92.0,Contact
1596,92.0,Appel
1597,92.0,Appel
1598,92.0,Appel
1599,92.0,Appel
1600,92.0,Appel
1601,92.0,
1602,92.0,Appel
1603,92.0,
1604,92.0,Appel
1605,92.0,Internet
1606,92.0,Coordination
1607,92.0,Appel
1608,77.0,Mail
1609,77.0,Mail
1610,77.0,Mail
1611,77.0,Mail
1612,77.0,Mail
1613,77.0,Mail
1614,77.0,Mail
1615,77.0,Mail
1616,77.0,
1617,77.0,Mail
1618,77.0,Mail
1619,77.0,Mail
1620,77.0,Mail
1621,77.0,Mail
1622,92.0,Appel
1623,92.0,Appel
1624,92.0,
1625,94.0,Appel
1626,94.0,Appel
1627,94.0,Appel
1628,94.0,Appel
1629,77.0,Mail
1630,94.0,Appel
1631,94.0,Appel
1632,95.0,Mail
1633,93.0,
1634,93.0,
1635,94.0,
1636,93.0,
1637,77.0,Mail
1638,77.0,Mail
1639,77.0,Mail
1640,77.0,Mail
1641,93.0,
1642,77.0,Mail
1643,93.0,
1644,94.0,
1645,94.0,
1646,94.0,
1647,94.0,
1648,94.0,
1649,94.0,
1650,94.0,
1651,94.0,Internet
1652,94.0,
1653,94.0,
1654,93.0,
1655,93.0,
1656,93.0,
1657,94.0,
1658,77.0,Mail
1659,93.0,
1660,77.0,Mail
1661,94.0,Internet
1662,93.0,
1663,94.0,
1664,77.0,Mail
1665,93.0,Appel
1666,94.0,
1667,93.0,
1668,94.0,
1669,77.0,Mail
1670,93.0,
1671,93.0,
1672,77.0,Mail
1673,94.0,Internet
1674,93.0,
1675,94.0,
1676,93.0,
1677,94.0,
1678,77.0,Mail
1679,93.0,
1680,93.0,Appel
1681,77.0,Mail
1682,94.0,Appel
1683,94.0,
1684,93.0,
1685,93.0,
1686,77.0,Mail
1687,93.0,
1688,93.0,
1689,94.0,Mail
1690,94.0,Internet
1691,77.0,Mail
1692,77.0,Mail
1693,77.0,
1694,94.0,
1695,94.0,Internet
1696,94.0,Internet
1697,94.0,
1698,94.0,Appel
1699,94.0,Internet
1700,94.0,Appel
1701,94.0,
1702,94.0,
1703,94.0,
1704,94.0,Appel
1705,94.0,Appel
1706,94.0,
1707,94.0,
1708,94.0,Internet
1709,94.0,
1710,94.0,Appel
1711,94.0,
1712,94.0,
1713,92.0,Appel
1714,33.0,Appel
1715,94.0,Internet
1716,75.0,
1717,94.0,
1718,94.0,
1719,93.0,
1720,93.0,
1721,92.0,
1722,92.0,Appel
1723,92.0,Appel
1724,92.0,Appel
1725,92.0,
1726,92.0,Appel
1727,75.0,Internet
1728,92.0,Appel
1729,92.0,Appel
1730,75.0,Internet
1731,93.0,
1732,93.0,
1733,93.0,
1734,93.0,
1735,44.0,
1736,95.0,
1737,93.0,Appel
1738,92.0,Appel
1739,92.0,Appel
1740,93.0,
1741,92.0,Internet
1742,93.0,
1743,92.0,Internet
1744,92.0,Appel
1745,92.0,
1746,92.0,
1747,93.0,
1748,92.0,Appel
1749,92.0,Appel
1750,92.0,Appel
1751,92.0,
1752,93.0,
1753,92.0,Appel
1754,93.0,Appel
1755,92.0,Appel
1756,92.0,Appel
1757,92.0,Appel
1758,93.0,
1759,93.0,
1760,93.0,
1761,93.0,Appel
1762,93.0,
1763,93.0,Appel
1764,93.0,
1765,93.0,Contact
1766,93.0,
1767,93.0,
1768,93.0,Appel
1769,93.0,Contact
1770,93.0,
1771,33.0,
1772,93.0,
1773,93.0,Appel
1774,93.0,
1775,93.0,
1776,93.0,
1777,93.0,
1778,93.0,
1779,93.0,Appel
1780,93.0,
1781,93.0,Appel
1782,93.0,
1783,93.0,
1784,93.0,Appel
1785,93.0,
1786,93.0,
1787,93.0,Appel
1788,93.0,
1789,93.0,
1790,93.0,Appel
1791,93.0,
1792,93.0,Appel
1793,93.0,Appel
1794,92.0,Mail
1795,92.0,Appel
1796,92.0,Appel
1797,92.0,Appel
1798,92.0,Appel
1799,92.0,Appel
1800,92.0,
1801,92.0,Appel
1802,92.0,Appel
1803,92.0,Appel
1804,93.0,
1805,92.0,Appel
1806,92.0,Appel
1807,92.0,Internet
1808,92.0,Appel
1809,92.0,Appel
1810,92.0,Appel
1811,92.0,Appel
1812,92.0,Appel
1813,92.0,Appel
1814,92.0,
1815,92.0,Appel
1816,93.0,Contact
1817,93.0,
1818,93.0,
1819,93.0,Contact
1820,93.0,Contact
1821,93.0,Contact
1822,93.0,
1823,93.0,
1824,93.0,Contact
1825,93.0,Contact
1826,93.0,Mail
1827,93.0,Mail
1828,93.0,Contact
1829,93.0,Contact
1830,93.0,Contact
1831,93.0,Contact
1832,93.0,
1833,93.0,Contact
1834,93.0,Appel
1835,93.0,Contact
1836,93.0,Contact
1837,93.0,Contact
1838,93.0,
1839,93.0,
1840,93.0,Contact
1841,93.0,
1842,93.0,
1843,92.0,Appel
1844,92.0,
1845,92.0,Appel
1846,92.0,
1847,92.0,Appel
1848,92.0,Appel
1849,92.0,Appel
1850,92.0,Internet
1851,92.0,Appel
1852,92.0,Appel
1853,92.0,Appel
1854,92.0,
1855,92.0,Appel
1856,92.0,Appel
1857,92.0,Appel
1858,92.0,
1859,92.0,Appel
1860,92.0,Appel
1861,92.0,Appel
1862,92.0,Mail
1863,92.0,Appel
1864,92.0,Appel
1865,92.0,Appel
1866,92.0,
1867,77.0,Appel
1868,77.0,
1869,92.0,
1870,92.0,Appel
1871,92.0,Contact
1872,92.0,Contact
1873,92.0,Appel
1874,92.0,Appel
1875,92.0,Appel
1876,92.0,Appel
1877,92.0,Appel
1878,92.0,Appel
1879,92.0,Appel
1880,92.0,Appel
1881,92.0,
1882,75.0,Appel
1883,75.0,Contact
1884,94.0,
1885,77.0,
1886,77.0,Appel
1887,93.0,
1888,75.0,Appel
1889,93.0,
1890,93.0,
1891,78.0,Coordination
1892,78.0,Mail
1893,78.0,Appel
1894,78.0,Appel
1895,77.0,Mail
1896,77.0,"Appel,Internet"
1897,77.0,Appel
1898,77.0,Appel
1899,77.0,Appel
1900,78.0,
1901,75.0,Appel
1902,75.0,
1903,78.0,
1904,75.0,Contact
1905,78.0,
1906,75.0,Appel
1907,78.0,Appel
1908,78.0,Appel
1909,78.0,Appel
1910,75.0,
1911,78.0,
1912,75.0,
1913,75.0,
1914,78.0,
1915,75.0,
1916,78.0,
1917,78.0,
1918,78.0,
1919,78.0,
1920,78.0,
1921,78.0,
1922,78.0,
1923,78.0,Appel
1924,78.0,Appel
1925,78.0,Appel
1926,75.0,Internet
1927,93.0,
1928,78.0,Appel
1929,78.0,
1930,78.0,Appel
1931,78.0,
1932,78.0,Mail
1933,78.0,Coordination
1934,91.0,Appel
1935,91.0,Appel
1936,91.0,
1937,91.0,Appel
1938,91.0,
1939,91.0,Appel
1940,91.0,Appel
1941,91.0,Appel
1942,92.0,Appel
1943,94.0,
1944,92.0,Appel
1945,92.0,Appel
1946,92.0,Appel
1947,92.0,
1948,92.0,
1949,92.0,Appel
1950,78.0,Appel
1951,78.0,Appel
1952,78.0,Appel
1953,78.0,
1954,92.0,Appel
1955,92.0,Appel
1956,92.0,
1957,92.0,Contact
1958,92.0,Appel
1959,75.0,
1960,92.0,
1961,92.0,
1962,92.0,Appel
1963,91.0,Appel
1964,91.0,Appel
1965,91.0,Appel
1966,91.0,
1967,91.0,
1968,91.0,"Appel,Mail"
1969,91.0,
1970,91.0,Appel
1971,91.0,
1972,91.0,Appel
1973,92.0,Appel
1974,92.0,Appel
1975,94.0,Appel
1976,92.0,
1977,94.0,Mail
1978,92.0,Appel
1979,92.0,
1980,94.0,Appel
1981,92.0,Appel
1982,94.0,Appel
1983,92.0,Internet
1984,92.0,Appel
1985,94.0,Appel
1986,94.0,Appel
1987,92.0,Appel
1988,94.0,Appel
1989,94.0,Appel
1990,94.0,Appel
1991,94.0,Appel
1992,92.0,Appel
1993,92.0,
1994,95.0,Appel
1995,92.0,Appel
1996,95.0,Appel
1997,92.0,
1998,92.0,
1999,92.0,
2000,75.0,
2001,75.0,
2002,75.0,Appel
2003,75.0,
2004,75.0,
2005,75.0,
2006,75.0,Appel
2007,75.0,Appel
2008,75.0,
2009,92.0,
2010,78.0,Appel
2011,78.0,
2012,78.0,Appel
2013,78.0,
2014,78.0,Coordination
2015,33.0,
2016,78.0,Appel
2017,75.0,Internet
2018,75.0,
2019,75.0,
2020,75.0,
2021,75.0,Appel
2022,33.0,Appel
2023,92.0,
2024,94.0,
2025,94.0,
2026,94.0,
2027,91.0,
2028,75.0,Appel
2029,75.0,
2030,78.0,
2031,78.0,
2032,92.0,Appel
2033,75.0,Appel
2034,93.0,
2035,91.0,
2036,75.0,
2037,75.0,Appel
2038,75.0,Appel
2039,75.0,
2040,75.0,Appel
2041,75.0,
2042,75.0,
2043,75.0,Appel
2044,75.0,
2045,75.0,Appel
2046,75.0,Coordination
2047,75.0,
2048,75.0,Appel
2049,75.0,
2050,75.0,
2051,75.0,Internet
2052,93.0,
2053,44.0,Appel
2054,33.0,Appel
2055,92.0,
2056,92.0,Appel
2057,78.0,
2058,93.0,
2059,78.0,
2060,92.0,Appel
2061,75.0,Appel
2062,78.0,Appel
2063,75.0,
2064,75.0,
2065,93.0,
2066,92.0,
2067,94.0,Mail
2068,77.0,
2069,77.0,Appel
2070,33.0,Appel
2071,33.0,Appel
2072,33.0,
2073,33.0,Mail
2074,33.0,
2075,33.0,Appel
2076,33.0,Mail
2077,33.0,Appel
2078,33.0,Appel
2079,33.0,Appel
2080,33.0,Appel
2081,33.0,
2082,92.0,Appel
2083,92.0,
2084,92.0,Appel
2085,92.0,Appel
2086,92.0,Appel
2087,44.0,Appel
2088,75.0,Internet
2089,75.0,Appel
2090,75.0,Internet
2091,75.0,Appel
2092,75.0,
2093,75.0,
2094,75.0,
2095,75.0,Appel
2096,75.0,Appel
2097,78.0,Appel
2098,75.0,Appel
2099,78.0,Appel
2100,75.0,Appel
2101,78.0,
2102,75.0,Appel
2103,78.0,
2104,33.0,
2105,33.0,
2106,78.0,Appel
2107,92.0,Appel
2108,33.0,
2109,33.0,Appel
2110,92.0,Appel
2111,33.0,
2112,92.0,Appel
2113,92.0,Appel
2114,78.0,Appel
2115,92.0,Internet
2116,92.0,Appel
2117,78.0,Appel
2118,92.0,Internet
2119,92.0,Appel
2120,78.0,Coordination
2121,92.0,Appel
2122,92.0,Appel
2123,78.0,Appel
2124,92.0,Appel
2125,92.0,Appel
2126,92.0,Appel
2127,92.0,Appel
2128,92.0,
2129,92.0,
2130,92.0,
2131,92.0,Appel
2132,92.0,Tchat
2133,92.0,Appel
2134,75.0,Mail
2135,93.0,
2136,33.0,
2137,33.0,
2138,33.0,
2139,33.0,
2140,92.0,Coordination
2141,92.0,Appel
2142,33.0,
2143,92.0,
2144,75.0,
2145,75.0,
2146,77.0,Appel
2147,75.0,
2148,92.0,Appel
2149,33.0,
2150,92.0,Appel
2151,92.0,Coordination
2152,92.0,Internet
2153,92.0,
2154,92.0,
2155,33.0,Appel
2156,33.0,
2157,92.0,Appel
2158,92.0,Appel
2159,92.0,
2160,92.0,
2161,33.0,
2162,33.0,
2163,92.0,Appel
2164,92.0,
2165,92.0,Appel
2166,92.0,Appel
2167,92.0,
2168,92.0,Appel
2169,92.0,Appel
2170,92.0,Appel
2171,92.0,Appel
2172,92.0,
2173,92.0,
2174,92.0,Internet
2175,92.0,Appel
2176,92.0,Appel
2177,92.0,Appel
2178,92.0,
2179,92.0,Appel
2180,92.0,Appel
2181,75.0,
2182,75.0,
2183,92.0,Appel
2184,92.0,Appel
2185,75.0,Appel
2186,92.0,Appel
2187,92.0,
2188,92.0,
2189,33.0,
2190,33.0,
2191,92.0,Appel
2192,92.0,
2193,33.0,Internet
2194,92.0,
2195,92.0,
2196,92.0,Appel
2197,92.0,
2198,92.0,
2199,92.0,Appel
2200,92.0,
2201,92.0,Appel
2202,92.0,Appel
2203,92.0,Internet
2204,92.0,Appel
2205,92.0,Appel
2206,92.0,
2207,92.0,Appel
2208,92.0,Appel
2209,92.0,
2210,92.0,
2211,92.0,Internet
2212,92.0,Appel
2213,92.0,
2214,92.0,
2215,92.0,Appel
2216,92.0,
2217,92.0,Appel
2218,92.0,Appel
2219,92.0,
2220,92.0,Appel
2221,92.0,Appel
2222,92.0,Appel
2223,33.0,
2224,33.0,Mail
2225,33.0,Appel
2226,33.0,
2227,33.0,Appel
2228,33.0,
2229,33.0,Appel
2230,33.0,
2231,33.0,
2232,33.0,Appel
2233,78.0,Appel
2234,33.0,
2235,33.0,
2236,33.0,Appel
2237,33.0,Appel
2238,78.0,
2239,78.0,Appel
2240,33.0,Appel
2241,33.0,Appel
2242,33.0,Appel
2243,33.0,Appel
2244,33.0,Appel
2245,33.0,
2246,33.0,Appel
2247,33.0,Appel
2248,33.0,Appel
2249,33.0,
2250,33.0,Appel
2251,33.0,Appel
2252,33.0,Appel
2253,33.0,Appel
2254,33.0,Appel
2255,33.0,
2256,33.0,Visite
2257,92.0,
2258,75.0,Appel
2259,75.0,Appel
2260,75.0,Appel
2261,33.0,Appel
2262,33.0,
2263,33.0,Appel
2264,33.0,Appel
2265,59.0,
2266,59.0,
2267,59.0,
2268,59.0,
2269,92.0,
2270,33.0,Appel
2271,33.0,Appel
2272,59.0,
2273,67.0,
2274,78.0,
2275,78.0,Appel
2276,78.0,
2277,78.0,Appel
2278,33.0,Appel
2279,78.0,Appel
2280,78.0,Appel
2281,78.0,Appel
2282,78.0,
2283,78.0,Appel
2284,78.0,
2285,78.0,
2286,78.0,
2287,78.0,
2288,78.0,
2289,78.0,
2290,78.0,
2291,78.0,
2292,78.0,
2293,78.0,
2294,78.0,
2295,78.0,
2296,78.0,
2297,78.0,
2298,78.0,
2299,78.0,
2300,78.0,
2301,78.0,
2302,78.0,
2303,78.0,
2304,78.0,
2305,78.0,
2306,78.0,Coordination
2307,78.0,
2308,78.0,
2309,78.0,Appel
2310,78.0,
2311,78.0,Appel
2312,78.0,
2313,78.0,
2314,75.0,
2315,75.0,
2316,75.0,
2317,75.0,
2318,75.0,Internet
2319,75.0,
2320,59.0,Appel
2321,59.0,
2322,59.0,
2323,59.0,
2324,59.0,
2325,59.0,
2326,59.0,
2327,59.0,
2328,59.0,
2329,59.0,
2330,59.0,
2331,59.0,
2332,59.0,
2333,59.0,
2334,94.0,
2335,94.0,
2336,94.0,
2337,94.0,
2338,94.0,
2339,94.0,Appel
2340,94.0,
2341,94.0,
2342,94.0,Appel
2343,94.0,
2344,94.0,
2345,94.0,
2346,94.0,
2347,94.0,
2348,94.0,
2349,94.0,
2350,94.0,Appel
2351,94.0,
2352,94.0,
2353,94.0,Appel
2354,94.0,Appel
2355,94.0,Appel
2356,94.0,
2357,59.0,
2358,94.0,
2359,94.0,
2360,94.0,Appel
2361,94.0,Appel
2362,94.0,
2363,94.0,Appel
2364,94.0,Mail
2365,75.0,
2366,92.0,Appel
2367,94.0,Internet
2368,94.0,Appel
2369,94.0,
2370,94.0,Appel
2371,94.0,
2372,94.0,Appel
2373,94.0,Appel
2374,94.0,Appel
2375,94.0,Appel
2376,94.0,Appel
2377,75.0,Mail
2378,75.0,Mail
2379,75.0,Internet
2380,75.0,
2381,95.0,Appel
2382,95.0,Appel
2383,95.0,Appel
2384,95.0,Appel
2385,95.0,Appel
2386,95.0,
2387,95.0,Appel
2388,95.0,
2389,95.0,
2390,95.0,
2391,95.0,Appel
2392,95.0,Appel
2393,95.0,Appel
2394,95.0,Appel
2395,95.0,Appel
2396,95.0,Appel
2397,95.0,Appel
2398,95.0,
2399,95.0,Appel
2400,95.0,Coordination
2401,95.0,Appel
2402,94.0,Appel
2403,94.0,Appel
2404,94.0,Appel
2405,94.0,Appel
2406,95.0,Internet
2407,95.0,Appel
2408,95.0,Appel
2409,95.0,Appel
2410,95.0,Appel
2411,94.0,Appel
2412,95.0,Appel
2413,94.0,Appel
2414,95.0,Appel
2415,94.0,Appel
2416,94.0,Appel
2417,94.0,Appel
2418,94.0,Appel
2419,94.0,Appel
2420,94.0,Appel
2421,94.0,Appel
2422,94.0,Appel
2423,95.0,Appel
2424,44.0,
2425,95.0,Appel
2426,95.0,Appel
2427,95.0,Appel
2428,95.0,Appel
2429,95.0,Appel
2430,95.0,Appel
2431,95.0,Appel
2432,95.0,Appel
2433,95.0,Appel
2434,95.0,
2435,95.0,Appel
2436,95.0,Appel
2437,75.0,
2438,93.0,
2439,93.0,Appel
2440,93.0,Appel
2441,93.0,Appel
2442,93.0,Appel
2443,93.0,Appel
2444,93.0,
2445,93.0,
2446,33.0,Appel
2447,33.0,Appel
2448,33.0,
2449,33.0,
2450,33.0,
2451,33.0,
2452,33.0,
2453,44.0,
2454,33.0,
2455,33.0,
2456,33.0,
2457,33.0,
2458,33.0,
2459,33.0,
2460,33.0,
2461,33.0,Appel
2462,33.0,Appel
2463,33.0,Appel
2464,33.0,Mail
2465,33.0,Appel
2466,93.0,
2467,33.0,Appel
2468,33.0,Appel
2469,33.0,Appel
2470,33.0,Appel
2471,33.0,Appel
2472,33.0,Mail
2473,33.0,Appel
2474,33.0,Mail
2475,33.0,Appel
2476,33.0,Contact
2477,33.0,Appel
2478,33.0,Appel
2479,33.0,Appel
2480,33.0,Appel
2481,33.0,Appel
2482,33.0,Appel
2483,33.0,Appel
2484,92.0,Appel
2485,33.0,Appel
2486,33.0,Appel
2487,33.0,Appel
2488,33.0,Appel
2489,33.0,Appel
2490,33.0,Appel
2491,33.0,Appel
2492,33.0,Appel
2493,33.0,Appel
2494,33.0,Appel
2495,33.0,Appel
2496,33.0,Appel
2497,33.0,Appel
2498,33.0,Appel
2499,33.0,Appel
2500,33.0,
2501,33.0,Appel
2502,33.0,
2503,33.0,Mail
2504,33.0,Contact
2505,33.0,Appel
2506,33.0,Appel
2507,33.0,Appel
2508,33.0,Appel
2509,33.0,Appel
2510,33.0,Appel
2511,33.0,Mail
2512,33.0,Appel
2513,33.0,Appel
2514,33.0,
2515,33.0,
2516,33.0,Mail
2517,33.0,Appel
2518,33.0,Appel
2519,33.0,Appel
2520,33.0,Appel
2521,33.0,
2522,33.0,Appel
2523,93.0,
2524,33.0,Appel
2525,33.0,
2526,33.0,Appel
2527,33.0,
2528,33.0,Mail
2529,33.0,
2530,33.0,
2531,33.0,
2532,93.0,Appel
2533,93.0,Mail
2534,33.0,Appel
2535,33.0,
2536,33.0,
2537,33.0,
2538,33.0,
2539,95.0,Appel
2540,95.0,Appel
2541,95.0,Appel
2542,95.0,Appel
2543,95.0,Appel
2544,95.0,Appel
2545,95.0,Appel
2546,95.0,Appel
2547,95.0,Appel
2548,95.0,Appel
2549,95.0,Appel
2550,92.0,Appel
2551,95.0,Appel
2552,95.0,Appel
2553,95.0,Appel
2554,95.0,Appel
2555,95.0,Appel
2556,95.0,Appel
2557,95.0,Appel
2558,95.0,Appel
2559,95.0,Appel
2560,95.0,Appel
2561,95.0,Appel
2562,95.0,Appel
2563,95.0,Appel
2564,95.0,
2565,95.0,Appel
2566,93.0,
2567,93.0,
2568,93.0,Appel
2569,33.0,Appel
2570,33.0,
2571,33.0,
2572,93.0,Appel
2573,33.0,Appel
2574,33.0,Appel
2575,33.0,Mail
2576,33.0,
2577,33.0,Internet
2578,93.0,Appel
2579,33.0,Appel
2580,33.0,Internet
2581,33.0,
2582,33.0,Appel
2583,33.0,Appel
2584,33.0,Visite
2585,33.0,
2586,33.0,
2587,33.0,Appel
2588,33.0,
2589,93.0,Appel
2590,93.0,
2591,33.0,
2592,33.0,Internet
2593,33.0,Internet
2594,33.0,Internet
2595,33.0,Appel
2596,33.0,Internet
2597,33.0,Internet
2598,33.0,
2599,33.0,
2600,33.0,
2601,33.0,Appel
2602,33.0,
2603,33.0,
2604,33.0,
2605,33.0,
2606,93.0,Appel
2607,33.0,
2608,93.0,Appel
2609,93.0,Appel
2610,33.0,Appel
2611,33.0,Appel
2612,33.0,
2613,33.0,Mail
2614,33.0,Appel
2615,33.0,
2616,93.0,Internet
2617,93.0,Appel
2618,93.0,Appel
2619,33.0,
2620,33.0,
2621,33.0,
2622,33.0,Appel
2623,33.0,Appel
2624,93.0,Mail
2625,33.0,Mail
2626,33.0,
2627,33.0,
2628,33.0,
2629,33.0,Appel
2630,33.0,Mail
2631,33.0,
2632,33.0,
2633,75.0,
2634,33.0,
2635,33.0,
2636,33.0,Appel
2637,33.0,Appel
2638,33.0,Appel
2639,33.0,Internet
2640,33.0,Internet
2641,33.0,Internet
2642,33.0,Appel
2643,33.0,Appel
2644,33.0,
2645,33.0,
2646,33.0,Appel
2647,33.0,Appel
2648,33.0,Internet
2649,33.0,Mail
2650,33.0,
2651,33.0,
2652,33.0,
2653,33.0,
2654,33.0,
2655,33.0,
2656,33.0,
2657,33.0,
2658,33.0,
2659,33.0,
2660,93.0,Internet
2661,93.0,Appel
2662,75.0,Appel
2663,93.0,Appel
2664,93.0,Appel
2665,93.0,
2666,33.0,Visite
2667,33.0,
2668,33.0,Mail
2669,33.0,
2670,33.0,Internet
2671,93.0,Contact
2672,75.0,
2673,93.0,Appel
2674,75.0,
2675,75.0,Appel
2676,75.0,
2677,75.0,Internet
2678,75.0,Internet
2679,75.0,Mail
2680,75.0,Appel
2681,77.0,
2682,75.0,Internet
2683,75.0,Internet
2684,75.0,Internet
2685,75.0,Mail
2686,75.0,Internet
2687,75.0,Internet
2688,75.0,Internet
2689,75.0,Internet
2690,75.0,Appel
2691,75.0,Appel
2692,75.0,
2693,75.0,Appel
2694,75.0,Internet
2695,75.0,Internet
2696,75.0,Internet
2697,75.0,Internet
2698,75.0,Appel
2699,75.0,Appel
2700,75.0,Appel
2701,75.0,Appel
2702,75.0,Appel
2703,75.0,Appel
2704,75.0,Appel
2705,75.0,Appel
2706,75.0,Appel
2707,75.0,Mail
2708,33.0,
2709,44.0,Appel
2710,75.0,
2711,75.0,Appel
2712,75.0,Appel
2713,75.0,Appel
2714,75.0,Appel
2715,75.0,Appel
2716,75.0,Appel
2717,75.0,Appel
2718,75.0,Appel
2719,75.0,Appel
2720,75.0,Appel
2721,75.0,Appel
2722,75.0,Appel
2723,75.0,Appel
2724,75.0,
2725,75.0,Appel
2726,75.0,Appel
2727,75.0,Internet
2728,75.0,Appel
2729,75.0,Appel
2730,75.0,Appel
2731,75.0,Internet
2732,75.0,Internet
2733,75.0,Appel
2734,75.0,Appel
2735,44.0,Appel
2736,44.0,Appel
2737,75.0,Mail
2738,75.0,Internet
2739,75.0,Appel
2740,75.0,Appel
2741,75.0,Mail
2742,75.0,
2743,75.0,Appel
2744,75.0,
2745,75.0,Internet
2746,75.0,Appel
2747,92.0,Appel
2748,75.0,Appel
2749,75.0,Appel
2750,75.0,Internet
2751,75.0,Mail
2752,75.0,Internet
2753,75.0,Internet
2754,75.0,Internet
2755,75.0,Internet
2756,75.0,Internet
2757,44.0,Appel
2758,75.0,Internet
2759,44.0,
2760,44.0,
2761,44.0,
2762,44.0,Appel
2763,44.0,Internet
2764,44.0,Mail
2765,75.0,
2766,44.0,Appel
2767,44.0,Appel
2768,44.0,Appel
2769,44.0,Internet
2770,44.0,Appel
2771,75.0,Appel
2772,44.0,Appel
2773,44.0,Appel
2774,44.0,Appel
2775,44.0,Internet
2776,44.0,Internet
2777,44.0,Internet
2778,44.0,Appel
2779,44.0,
2780,44.0,
2781,44.0,Internet
2782,44.0,
2783,44.0,
2784,44.0,Internet
2785,33.0,Appel
2786,44.0,Internet
2787,44.0,Internet
2788,94.0,
2789,75.0,
2790,44.0,Appel
2791,44.0,
2792,44.0,Appel
2793,44.0,Appel
2794,75.0,Coordination
2795,75.0,
2796,93.0,Appel
2797,93.0,Appel
2798,93.0,Appel
2799,44.0,Internet
2800,93.0,Appel
2801,44.0,Appel
2802,44.0,Internet
2803,44.0,Appel
2804,44.0,Appel
2805,44.0,Appel
2806,44.0,Appel
2807,93.0,Appel
2808,75.0,Contact
2809,93.0,Appel
2810,78.0,Appel
2811,93.0,Appel
2812,93.0,Appel
2813,44.0,Internet
2814,44.0,Internet
2815,93.0,Appel
2816,44.0,Internet
2817,93.0,Appel
2818,44.0,Internet
2819,44.0,Internet
2820,93.0,Appel
2821,44.0,Internet
2822,44.0,Internet
2823,44.0,Internet
2824,93.0,Appel
2825,44.0,Internet
2826,44.0,Internet
2827,44.0,Internet
2828,93.0,Appel
2829,44.0,Internet
2830,93.0,Appel
2831,44.0,Internet
2832,44.0,Internet
2833,93.0,Appel
2834,44.0,Internet
2835,44.0,Internet
2836,44.0,Internet
2837,44.0,Internet
2838,44.0,Appel
2839,44.0,Appel
2840,75.0,Appel
2841,75.0,Internet
2842,44.0,Appel
2843,75.0,Internet
2844,75.0,Internet
2845,44.0,
2846,75.0,Internet
2847,93.0,Appel
2848,75.0,Internet
2849,44.0,Mail
2850,93.0,Appel
2851,44.0,Appel
2852,44.0,Appel
2853,93.0,Appel
2854,93.0,Appel
2855,75.0,Internet
2856,93.0,Appel
2857,93.0,Appel
2858,93.0,Appel
2859,44.0,Appel
2860,93.0,Appel
2861,93.0,
2862,44.0,
2863,44.0,Appel
2864,93.0,Appel
2865,93.0,Appel
2866,93.0,Appel
2867,93.0,Appel
2868,44.0,
2869,93.0,Appel
2870,93.0,Appel
2871,93.0,Appel
2872,93.0,Appel
2873,93.0,Appel
2874,93.0,Appel
2875,93.0,Appel
2876,93.0,Appel
2877,44.0,Appel
2878,44.0,Appel
2879,44.0,Appel
2880,44.0,Appel
2881,44.0,Appel
2882,44.0,Appel
2883,44.0,Appel
2884,44.0,Appel
2885,44.0,Appel
2886,44.0,Appel
2887,44.0,Appel
2888,44.0,Appel
2889,44.0,Appel
2890,44.0,Appel
2891,44.0,Appel
2892,44.0,
2893,44.0,Appel
2894,44.0,Appel
2895,44.0,Appel
2896,44.0,Appel
2897,44.0,Appel
2898,44.0,Appel
2899,44.0,Appel
2900,44.0,Appel
2901,93.0,Appel
2902,93.0,
2903,75.0,
2904,44.0,
2905,75.0,Mail
2906,44.0,Appel
2907,44.0,
2908,44.0,Appel
2909,44.0,Appel
2910,44.0,Appel
2911,44.0,
2912,44.0,Appel
2913,44.0,Appel
2914,44.0,Appel
2915,44.0,Internet
2916,44.0,Appel
2917,44.0,Appel
2918,44.0,Appel
2919,93.0,
2920,93.0,Appel
2921,44.0,Appel
2922,44.0,Appel
2923,44.0,Mail
2924,44.0,Appel
2925,44.0,Appel
2926,44.0,Appel
2927,44.0,Appel
2928,44.0,Appel
2929,44.0,Appel
2930,44.0,Appel
2931,44.0,Appel
2932,44.0,Appel
2933,44.0,Appel
2934,44.0,
2935,44.0,Appel
2936,44.0,Appel
2937,44.0,Tchat
2938,44.0,Internet
2939,44.0,Appel
2940,44.0,Appel
2941,44.0,
2942,44.0,Appel
2943,44.0,Appel
2944,44.0,Appel
2945,44.0,Appel
2946,44.0,Mail
2947,44.0,Appel
2948,44.0,Appel
